0,2019 will see gadgets like gaming smartphones and wearable medical devices lifting the user experience to a whole new level mintindiawire consumer technologyconsumer technology trends in new yeartech gadgetsfoldable phonesgaming smartphoneswearable medical devicestechnology new delhi gadgets have become an integral part of our lives with most of us relying on some form of factor to communicate commute work be informed or entertained year 2019 will see some gadgets lifting the user experience to a whole new level here is what we can expect to see smartphones with foldable screens foldable phones are finally moving from the concept stage to commercial launches they are made up of organic lightemitting diode oled panels with higher plastic substrates allowing them to be bent without damage usbased display maker royole corp foldable phone flexpai has already arrived in select markets while samsung unnamed foldable phone is expected sometime next year samsung smartphone chief executive officer dj koh has said they will make a million units of it lg too is expected to display a foldable phone next year meanwhile apple nokia lenovo and huawei have also been working on foldable phones reportedly esim very soon your smartphone will not need a physical sim card anymore the esim technology already used by apple in its iphones and apple watch replaces the physical sim with a virtually embedded chip on the motherboard esims support multiple mobile operators and can be programmed to switch services
1,it has also unleashed a wave of changes in the mcu that will make sure its future is a lot different than its past kevin feige had signalled diversity and more representation in the postphase 3 mcu and endgame does a lot to showcase the initiative
2,it can be confusing to pick the right smartphone for yourself so we have segregated the top smartphones under rs 20000 according to their strengths the best smartphones under 20000 categorised according to performance camera design and battery life mintindiawire phones under rs 20000poco f1realme u1redmi note 6 prorealme 2 prohonor playnokia 71nova 3iasus zenfone max pro m1 gone are the days when you had to she will out big buck for buying smartphones with premium features technology has become more accessible recently and the biggest example of that lies in the subrs 20000 categoryyou get good performance design and even software at a reasonable price it can be confusing to pick the right smartphone for you however given the amount of variety that lies in the segment so we have segregated the top smartphones under  20000 according to their strengths so you can pick the one that suits you best this phone actually lies just north of the  20000 price point but if you have an hdfc debit or credit card you can purchase the lowest spec variant with 6gb ram and 64gb internal storage for as low as  19999 making it the cheapest smartphone to run a qualcomm snapdragon 845 soc there is not a lot to not like about this phoneit has the fastest processor qualcomm has to offer some thermal trickery to keep your smartphone cool during intense gaming sessions a very good camera and some durable plastic that does not shatter or pick up scratches it even gets a modded version of the miui with an app drawer that allows you colour code your applications
3,the mobile application is integrated with a dashboard to confirm and register the preregistered cases to enable online interface between the beneficiary and the panel lawyer through video conferencing and telephone facility prasad said that a pilot project in this regard had proved useful and more than 50000 people have already availed this service till january it resulted in enabling legal advice to 49192 beneficiaries that include 36526 women 7049 sc and 13970 st in 11 states including uttar pradesh bihar and all northeastern states and the state of jammu and kashmir he said the law minister was of the view that pro bono appearances by lawyers should be considered as a criteria for appointment as judges he was also of the view that there was a need for legal literacy in india
4,we have rounded up some of the gadgets that showed up in 2018 and left an indelible mark on consumers experts and the tech industry youngsters playing pubg mobile on their smartphone for hours elderly switching off the lights using voice or a family watching their favourite movie in 4k hdr on netflix are some of the habits which were shaped by the gadgets around them we have rounded up some of the gadgets that showed up in 2018 and left an indelible mark on consumers experts and the tech industry  the echo plus 2 takes the whole iot experience up by a few notches with features such as zigbee smart hub which can find iot products on its own the temperature sensor and local voice control which works offline this is a smart fridge with built in cameras and sensors you can control the temperature look inside the fridge remotely and even mirror your tv or smartphone on its 21inch screen launched in india in april 2018 the google home speaker has a 360 degree design like echo plus2 but comes with the google assistant its voice match feature can identity voice and one can control compatible iot devices with it the rog zephyrus is one of the slimmest and lightest notebooks driven by nvidia topofthe line gtx 1080 graphics
5,imagine if every message you sent was kept with a record of the fact that you sent it and with a record of your phone number that would not be a place for private communications said a whatsapp spokesperson whatsapp is removing over two million accounts per month for bulk or automated behaviour  over 75 per cent without a recent user report these efforts are particularly important during elections where certain groups may attempt to send messages at scale said the company
6,positioned along the four sides of the asus rog phone are four haptic sensors that function as shoulder buttons or the l1 and r1 buttons on a gamepad the asus rog phone is priced at 69999 and comes in a single variant with 8gb ram and 128gb internal storage offers on the phone include nocost emi jio 5000 cashback4gb data per day plan on recharge of 509 mintindiawire asus rog phoneasusasus rog phone indiaasus rog phone india priceasus rog phone india accessoriesasus rog phone cooling taiwanese electronics giant asus on thursday launched its much anticipated gaming smartphone the rog phone the asus rog phone is priced at  69999 and comes in a single variant with 8gb ram and 128gb internal storage the 512gb variant of the rog phone will not make it to india asus is making customer care the priority for this device providing invoice free walkin free pickup and drop and device swap at service centres just in case your smartphone is faulty or damaged the phone will be available exclusively on flipkart offers on the phone include nocost emi jio  5000 cashback4gb data per day plan on recharge of  509
7,in fact when i applied to usc film school they had a thing that asked you to write three ideas for films in 2002 boyz n the hood was added to the national film registry by the library of congress which called it an innovative look at life and the tough choices present for kids growing up in south central los angeles singleton death on monday followed a turbulent week during which his family members made opposing court filings regarding his health a court filing last week by his mother shelia ward requested she be appointed singleton temporary conservator to make medical and financial decisions while he was incapacitated but on friday singleton daughter cleopatra singleton 19 filed a declaration disputing that account she maintained that her father was not in a coma and that doctors did not have a concrete diagnosis jackson said blazed the trail for many young film makers while always remaining true to who he was and where he came from  jordan peele the oscarwinning get out and us filmmaker called him a brave artist and a true inspiration your love for the black experience was contagious and i would never be the man i am without knowing you ice cube said in a statement
8,her moves were immaculately choreographed as she used her dragonglass spear that gendry made for her like it was made of lightning also read  game of thrones battle of winterfell here is everyone who diednight king does his raisingthedeadusinghands thing the night king can reanimate the dead on purpose he raised his hands in the same fashion and the dead people  like lyanna mormont  rose up as the undead
9,the ncp leadership was under tremendous pressure to consider fielding thirdgeneration pawars from key constituencies in western maharashtra parth pawar was open about his keenness to contest from the maval lok sabha constituency near pune rohit pawar son of sharad pawar brother rajendra pawar is also keen on entering the electoral arena and has set his eyes on the karjatjamkhed assembly constituency in ahmednagar constituency the pressure increased after sharad pawar said he would contest from madha while sule would seek reelection from baramati last month sharad pawar sought to end speculation by saying that no thirdgeneration pawar would contest lok sabha polls however ncp leaders and some legislators say that both parth pawar and rohit pawar were not ready to wait before pawar intervened the maval constituency saw posters of parth pawar coming up in several places known to be more ambitious of the two thirdgeneration ticket aspirants parth had started touring the constituency some six months back one ncp legislator said he is very keen to get into active politics he has a dedicated band of young workers with him who are confident that we can win the maval seat this time too said the ncp legislator requesting anonymity the shiv sena had won the maval seat in 2014 and 2009 elections
